Provenience,ID,element,length_value,depth_value,"length_dimension[Todd, 1987b]","depth_dimension[Todd, 1987b]",source
University of Wyoming Archaeological Repository,8236B,humerus,132.33,21,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8236B,radius,132.53,16.35,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8236B,humerus,132.97,21.06,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8236B,femur,154,21.49,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8236B,femur,155,21.13,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8236B,tibia,165,19.07,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8236B,tibia,167,19.03,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8238B,radius,113.36,11.84,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8238B,radius,113.37,11.74,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8238B,humerus,113.85,17.23,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8238B,humerus,114.67,17.37,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8238B,femur,127.94,17.73,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8238B,femur,128.57,17.15,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8238B,tibia,141.26,15.64,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8238B,tibia,142.13,15.41,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8284B,radius,122.53,13.05,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8284B,radius,123.19,13.16,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8284B,humerus,127.13,19.13,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8284B,humerus,128.66,19.18,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8284B,femur,144.58,19.2,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8284B,femur,146.74,18.98,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8284B,tibia,165,16.73,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8284B,tibia,165,16.88,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8285B,radius,114.21,14.18,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8285B,radius,115.69,13.97,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8285B,humerus,119.1,17.96,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8285B,humerus,119.38,18.07,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8285B,femur,132.68,18.94,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8285B,femur,134.77,19.36,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8285B,tibia,147.88,17.58,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8285B,tibia,149.33,17.39,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8286B,radius,112.02,12.98,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8286B,radius,113.49,13.32,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8286B,humerus,114.54,16.79,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8286B,humerus,115.48,16.61,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8286B,femur,132.11,18.23,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8286B,femur,133.76,18.35,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8286B,tibia,147.25,16.44,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8286B,tibia,147.37,16.43,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8287B,radius,113.24,12.74,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8287B,radius,114.1,13.04,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8287B,humerus,115.03,17.64,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8287B,humerus,115.51,17.79,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8287B,femur,130.01,17.86,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8287B,femur,130.05,17.92,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8287B,tibia,146.78,16.54,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8287B,tibia,147.43,16.15,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8288B,radius,118.79,13.62,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8288B,radius,119.33,13.78,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8288B,humerus,123.05,17.87,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8288B,humerus,123.08,17.41,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8288B,femur,140.29,18.23,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8288B,femur,140.63,18.11,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8288B,tibia,151,16.8,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8288B,tibia,153,16.95,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8289B,radius,118.11,15.24,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8289B,radius,118.4,15.25,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8289B,humerus,118.93,19.75,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8289B,humerus,119.96,19.91,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8289B,femur,136.77,19.56,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8289B,femur,137.63,19.51,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8289B,tibia,153,17.64,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,8289B,tibia,156,17.7,TA3,TA9,"Breslawski & Playford, 2018"
Big Goose Creek,A329,humerus,36.5,7.9,HM17,HM10,"Frison et al., 1978"
Big Goose Creek,A337,humerus,102,18.4,HM17,HM10,"Frison et al., 1978"
Big Goose Creek,A338,humerus,26.1,5.7,HM17,HM10,"Frison et al., 1978"
Big Goose Creek,A343,humerus,49.5,12.25,HM17,HM10,"Frison et al., 1978"
Big Goose Creek,A346,humerus,47,11,HM17,HM10,"Frison et al., 1978"
Big Goose Creek,A347,humerus,41.6,9,HM17,HM10,"Frison et al., 1978"
University of Wyoming Archaeological Repository,B0351,radius,131.07,15.06,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0351,humerus,133.9,21.47,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0351,tibia,167,18.03,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0351,tibia,169,17.46,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0380,humerus,88.56,13.82,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0380,humerus,88.78,13.34,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0380,radius,89.54,9.84,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0380,radius,89.79,9.91,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0380,femur,103.07,14.37,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0380,femur,103.99,14.09,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0380,tibia,115.34,12.92,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B0380,tibia,116.5,12.78,TA3,TA9,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B212B,radius,132.49,15.71,RD13,RD6,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B212B,humerus,133.67,20.67,HM17,HM10,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B212B,femur,153,21.3,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B212B,femur,155,20.79,FM4,FM17,"Breslawski & Playford, 2018"
University of Wyoming Archaeological Repository,B212B,tibia,169,19.4,TA3,TA9,"Breslawski & Playford, 2018"
University of Saskatchewan,US01L,femur,6.59,1.44,FM4,FM17,"Playford, 2015"
University of Saskatchewan,US01L,humerus,6.74,1.41,HM17,HM10,"Playford, 2015"
University of Saskatchewan,US01L,radius,6.92,0.9,RD13,RD6,"Playford, 2015"
University of Saskatchewan,US01L,tibia,7.67,1.24,TA3,TA9,"Playford, 2015"
University of Saskatchewan,US01R,humerus,6.27,1.51,HM17,HM10,"Playford, 2015"
University of Saskatchewan,US01R,femur,6.55,1.49,FM4,FM17,"Playford, 2015"
University of Saskatchewan,US01R,radius,6.91,0.9,RD13,RD6,"Playford, 2015"
University of Saskatchewan,US01R,tibia,7.73,1.23,TA3,TA9,"Playford, 2015"
University of Saskatchewan,US02L,humerus,6.63,1.46,HM17,HM10,"Playford, 2015"
University of Saskatchewan,US02L,femur,7.01,1.31,FM4,FM17,"Playford, 2015"
University of Saskatchewan,US02L,radius,7.48,0.91,RD13,RD6,"Playford, 2015"
University of Saskatchewan,US02L,tibia,8.07,1.33,TA3,TA9,"Playford, 2015"
University of Saskatchewan,US02R,femur,6.4,1.44,FM4,FM17,"Playford, 2015"
University of Saskatchewan,US02R,humerus,6.78,1.57,HM17,HM10,"Playford, 2015"
University of Saskatchewan,US02R,radius,7.16,0.93,RD13,RD6,"Playford, 2015"
University of Saskatchewan,US02R,tibia,7.79,1.39,TA3,TA9,"Playford, 2015"
University of Saskatchewan,US03L,humerus,62.23,11.43,HM17,HM10,"Playford, 2015"
University of Saskatchewan,US03L,radius,65.46,8.54,RD13,RD6,"Playford, 2015"
University of Saskatchewan,US03L,femur,75.01,12.47,FM4,FM17,"Playford, 2015"
University of Saskatchewan,US03L,tibia,81.75,13.52,TA3,TA9,"Playford, 2015"
University of Saskatchewan,US03R,humerus,61.87,12.25,HM17,HM10,"Playford, 2015"
University of Saskatchewan,US03R,radius,64.48,8.23,RD13,RD6,"Playford, 2015"
University of Saskatchewan,US03R,femur,73.9,12.22,FM4,FM17,"Playford, 2015"
University of Saskatchewan,US03R,tibia,82.54,12.23,TA3,TA9,"Playford, 2015"
University of Saskatchewan,US04L,humerus,85.54,16.63,HM17,HM10,"Playford, 2015"
University of Saskatchewan,US04L,radius,91.64,12.61,RD13,RD6,"Playford, 2015"
University of Saskatchewan,US04L,femur,105.56,16.39,FM4,FM17,"Playford, 2015"
University of Saskatchewan,US04L,tibia,111.99,15.66,TA3,TA9,"Playford, 2015"
University of Saskatchewan,US04R,humerus,86.56,17.39,HM17,HM10,"Playford, 2015"
University of Saskatchewan,US04R,radius,90.29,12.14,RD13,RD6,"Playford, 2015"
University of Saskatchewan,US04R,femur,107.33,17.29,FM4,FM17,"Playford, 2015"
University of Saskatchewan,US04R,tibia,112.56,15.69,TA3,TA9,"Playford, 2015"
Yellowstone National Park,f1,femur,91.16,14.39,FM4,FM17,"Breslawski & Playford, 2018"
Yellowstone National Park,t1,tibia,106.04,13.62,TA3,TA9,"Breslawski & Playford, 2018"
Yellowstone National Park,t2,tibia,102.61,12.96,TA3,TA9,"Breslawski & Playford, 2018"
